name,value
BGD,0.003
SOM,0
YEM,0.0001
AFG,0.008
LBY,0.022
MRT,0.008
SDN,0.013
EGY,0.093
IDN,0.085
IRN,0.074
KWT,0.073
PAK,0.094
SYR,0.096
NER,0.15
TLS,0.22
JOR,0.25
TON,0.31
SLE,0.33
TUV,0.32
DJI,0.35
COM,0.41
SEN,0.4
DZA,0.46
GIN,0.54
MAR,0.57
GMB,0.62
IRQ,0.64
TJK,0.73
OMN,0.73
BRN,0.71
ARE,0.82
MYS,0.81
SSD,0.77
SLB,0.83
MDG,0.86
KIR,1.03
TGO,1.2
PNG,1.27
QAT,1.29
ERI,1.31
MDV,1.62
LBN,1.59
BHR,1.66
GTM,1.7
MWI,1.7
TUN,1.81
MOZ,1.91
VUT,1.89
MMR,1.87
CAN,10.03
DNK,9.97
EST,10.49
RUS,10.51
IRL,10.55
VNM,10.72
LUX,10.8
HRV,10.85
SVN,10.9
GBR,10.86
ESP,10.97
SVK,10.97
AND,11.06
LAO,11.17
AUS,11.15
DEU,11.24
PRT,11.22
FRA,11.2
HUN,11.25
LCA,11.39
SYC,11.41
BLR,11.4
BGR,11.54
AUT,11.85
POL,11.92
NAM,11.99
LTU,12.18
CZE,13.68
MDA,14.13
LVA,14.73
GEO,15.54
ROU,17.06
COD,1.97
SGP,1.96
FSM,1.96
UZB,2.06
CAF,2.11
TUR,2.2
NGA,2.31
AZE,2.32
VEN,2.34
KEN,2.48
ECU,2.69
LKA,2.7
LBR,2.83
WSM,2.86
TCD,3.02
NRU,2.97
TKM,3.02
ETH,3.14
HND,3.14
ISR,3.12
GNB,3.22
NIU,3.28
HTI,3.32
SLV,3.4
FJI,3.48
MLI,3.56
BOL,3.61
ZMB,3.61
NPL,3.73
CPV,3.83
LSO,3.85
CRI,3.8
KGZ,3.92
NIC,3.93
JAM,3.93
AGO,3.98
ARM,4.3
COL,4.32
GHA,4.44
BTN,4.44
CIV,4.49
CHN,4.52
IND,4.54
BDI,4.54
TTO,4.77
PRK,4.75
ALB,4.97
BLZ,5.07
DOM,5.17
CYP,5.21
GUY,5.28
ZWE,5.43
KAZ,5.37
KHM,5.4
TZA,5.56
CUB,5.63
STP,5.67
PHL,5.69
MKD,5.76
SUR,5.92
MEX,6.01
BWA,6.04
GNQ,6.07
URY,6.16
MLT,6.2
UGA,6.33
BIH,6.33
JPN,6.31
PAN,6.27
COG,6.35
RWA,6.47
PRY,6.66
PER,6.79
VCT,6.81
BHS,6.91
BEN,6.98
GRC,6.98
DMA,6.98
KNA,7.01
SWZ,7.22
UKR,7.43
BFA,7.46
NOR,7.48
THA,7.63
MUS,7.65
MNG,7.74
GRD,7.77
ZAF,7.79
GAB,7.87
CHL,7.93
CMR,7.97
MNE,8.01
ISL,8.21
ITA,8.33
KOR,8.36
NLD,8.7
BEL,8.74
ARG,8.84
SRB,9.03
NZL,9.21
CHE,9.16
BRA,9.38
ATG,9.43
FIN,9.51
BRB,9.49
SWE,9.61
USA,9.81
