name,value
AFG,0.69
ALB,0.4
DZA,0.19
AGO,1.5
AZE,0.32
ARG,0.75
AUS,2.5
AUT,2
BHS,0.45
BHR,0.06
BGD,2.8
ARM,0.12
BRB,1.3
BEL,2.4
BTN,1.6
BOL,0.74
BIH,0.68
BWA,0.54
BRA,2
BLZ,0
SLB,0.19
BRN,0
BGR,0.9
MMR,1.2
BDI,0.45
BLR,3.1
KHM,0.79
CMR,1.2
CAN,2.2
CPV,0.17
CAF,0.28
LKA,1.5
TCD,0.05
CHL,0.41
CHN,0.33
COL,0.88
COM,0.33
COG,0.11
COD,0.22
CRI,0.48
HRV,2.1
CUB,3.4
CYP,0.48
CZE,2.9
BEN,0.52
DNK,4.1
DOM,1.6
ECU,0.44
SLV,0.26
GNQ,0.9
ETH,0.18
ERI,0.04
EST,2
FJI,0.29
FIN,1.2
FRA,3.3
GUF,2.1
PYF,2.2
DJI,0
GAB,1.1
GEO,0.64
GMB,0
PSE,0.14
DEU,2.6
GHA,0.39
GRC,0.33
GLP,2.8
GUM,0.44
GTM,0.32
GIN,0.13
GUY,0.25
HTI,0.99
HND,0.11
HUN,3.8
ISL,0.57
IND,1.6
IDN,0.51
IRN,0.12
IRQ,0.09
IRL,1.6
ISR,0.21
ITA,1.2
CIV,0.24
JAM,0.64
JPN,0.97
KAZ,0.67
JOR,0.14
KEN,0.32
PRK,0.21
KOR,0.77
KWT,0.1
KGZ,0.35
LAO,0.58
LBN,0.1
LSO,0.39
LVA,2.3
LBR,0.11
LBY,0.17
LTU,2.3
LUX,0.77
MDG,0.99
MWI,0.01
MYS,0.41
MDV,0
MLI,0.29
MLT,0.49
MTQ,1.5
MRT,0.22
MUS,0.75
MEX,0.27
MNG,0.51
MDA,3.4
MNE,0.91
MAR,0.25
MOZ,0.53
OMN,0.22
NAM,1.3
NPL,0.25
NLD,1.2
NCL,2.3
VUT,0
NZL,1.3
NIC,0.45
NER,0.21
NGA,0.18
NOR,1.7
PAK,0.62
PAN,0.69
PNG,1.5
PRY,2.3
PER,0.5
PHL,0.56
POL,2.6
PRT,3
GNB,0
TLS,0
PRI,1.7
QAT,0.15
REU,3.3
ROU,4.9
RUS,1.9
RWA,0.39
LCA,0.85
STP,0
SAU,0.07
SEN,0.2
SRB,1.1
SLE,0
SGP,0.61
SVK,5.1
VNM,0.58
SVN,2.6
SOM,0.24
ZAF,0.86
ZWE,0.25
ESP,1.2
SSD,0.26
SDN,0.13
SUR,0.29
SWZ,0.27
SWE,1.4
CHE,2
SYR,0.11
TJK,0.39
THA,0.89
TGO,0.8
TTO,0.79
ARE,0.16
TUN,0.22
TUR,0.24
TKM,0.96
UGA,0.55
UKR,2
MKD,0.41
EGY,0.2
GBR,2.6
TZA,0.3
USA,2.6
BFA,0.21
URY,1.2
UZB,0.64
VEN,1.1
WSM,0
YEM,0.25
ZMB,0.28
,1.1
