name,value
COM,10.2
KEN,10.2
ISL,10.2
NZL,10.3
ECU,10.4
MRT,10.4
BDI,10.9
CPV,11
GTM,11.4
SWZ,11.4
MOZ,11.5
ZWE,11.6
RWA,11.6
GMB,11.7
JAM,11.9
CAN,12.1
AUS,12.4
HND,12.4
IRN,12.5
BRA,12.5
QAT,12.5
GUY,12.5
BFA,12.5
COD,12.7
SLE,12.7
BOL,13
MAR,13
GAB,13.3
PER,13.4
GBR,14
SGP,14.1
LCA,14.2
NOR,14.4
ZMB,14.6
BRN,14.7
SAU,14.7
COG,15.5
BHR,15.7
MEX,16.1
PRK,16.4
UZB,17
BHS,17
USA,17
DNK,17
CUB,17.3
MYS,17.4
SYC,17.8
MUS,18.2
THA,18.4
JPN,18.5
BWA,18.8
PAK,19
IRL,19.2
AZE,19.3
KWT,19.3
KOR,19.6
KHM,19.7
IRQ,20.2
BTN,20.2
URY,20.3
PHL,20.9
SVN,21.2
LKA,21.3
NLD,21.4
VNM,21.7
ISR,21.8
SWE,21.8
DZA,22.1
KAZ,22.1
ALB,22.3
FIN,22.4
ITA,22.7
POL,22.8
DEU,22.8
AFG,22.9
KGZ,23
CHN,23.1
PLW,23.5
ZAF,23.5
CHE,23.6
BEL,24
WSM,24.1
ARG,24.3
EGY,24.4
IND,24.4
LUX,24.7
LBY,24.8
UKR,24.9
VUT,25
MLT,25
TUN,25.2
AUT,25.3
FJI,26.4
MDV,26.6
ARM,26.6
MDG,26.8
LAO,26.8
EST,27.5
LSO,27.7
RUS,27.8
CHL,27.9
PRT,28
ESP,28.1
MDA,28.3
CZE,28.8
COK,29
MHL,29.6
SVK,29.6
MNG,29.9
NGA,3.3
GHA,3.5
BLR,30.2
ROU,30.4
NPL,30.4
TUR,31.1
IDN,31.2
HUN,31.3
GRC,31.5
TON,32
LTU,32.3
GEO,32.8
CYP,32.8
BGD,33.3
FRA,33.7
JOR,33.8
TUV,34.3
HRV,34.5
PSE,34.8
LVA,35.3
AND,35.4
NRU,36.6
MNE,37.1
BIH,37.6
SLB,38.6
BGR,39.1
MKD,39.6
SRB,39.6
KIR,39.7
PNG,40.5
MMR,44.5
LBN,45.6
TLS,48.6
ETH,5.3
PAN,5.3
TKM,5.8
LBR,5.8
SEN,5.9
CMR,6.1
TGO,6.3
PRY,7.3
NER,7.5
TCD,7.7
BEN,7.8
MLI,7.9
CIV,8
STP,8.1
HTI,8.2
COL,8.3
UGA,8.3
CRI,8.4
OMN,8.4
GNB,8.6
SLV,8.6
TZA,8.6
BLZ,8.8
ARE,9.4
MWI,9.6
